Age,Year,b1,b2,b3,b4,b5p
26,2002,0.061257513,0.076505429,0.053262317,0.044303797,0.017857143
27,2002,0.049237171,0.082181639,0.062583222,0.050632911,0.017857143
28,2002,0.039528433,0.083168806,0.07057257,0.063291139,0.035714286
29,2002,0.031322238,0.077245805,0.07057257,0.069620253,0.053571429
30,2002,0.025889968,0.073050346,0.07723036,0.075949367,0.053571429
31,2002,0.020804438,0.066633761,0.078561917,0.075949367,0.071428571
32,2002,0.016643551,0.057008885,0.074567244,0.082278481,0.071428571
33,2002,0.013176144,0.049358342,0.074567244,0.082278481,0.089285714
34,2002,0.010517799,0.040227048,0.065246338,0.075949367,0.089285714
35,2002,0.008784096,0.031589339,0.058588549,0.063291139,0.089285714
36,2002,0.007050393,0.024925962,0.046604527,0.063291139,0.089285714
37,2002,0.00531669,0.017769003,0.037283622,0.050632911,0.089285714
38,2002,0.004160888,0.011846002,0.029294274,0.044303797,0.071428571
39,2002,0.003236246,0.00863771,0.021304927,0.03164557,0.053571429
40,2002,0.002196024,0.005676209,0.014647137,0.025316456,0.035714286
41,2002,0.001386963,0.003455084,0.007989348,0.012658228,0.035714286
42,2002,0.000809061,0.001974334,0.005326232,0.012658228,0.017857143
43,2002,0.000462321,0.001233959,0.002663116,0.006329114,0.017857143
44,2002,0.00023116,0.000493583,0.001331558,0,0
45,2002,0.00011558,0.000246792,0.001331558,0,0
46,2002,0,0,0,0,0
47,2002,0,0,0,0,0
48,2002,0,0,0,0,0
49,2002,0,0,0,0,0
50,2002,0,0,0,0,0
51,2002,0,0,0,0,0
52,2002,0,0,0,0,0
53,2002,0,0,0,0,0
54,2002,0,0,0,0,0
55+,2002,0,0,0,0,0
12,2010,0,0,0,0,0
13,2010,0.00011632,0,0,0,0
14,2010,0.000465279,0,0,0,0
15,2010,0.002675352,0,0,0,0
16,2010,0.008840293,0.000387072,0,0,0
17,2010,0.021751774,0.001935359,0,0,0
18,2010,0.03943236,0.005031933,0.000668896,0,0
19,2010,0.056996627,0.010450939,0.002006689,0,0
20,2010,0.067930673,0.017224695,0.004682274,0,0
21,2010,0.076305688,0.025159667,0.008695652,0.002358491,0
22,2010,0.081772711,0.033481711,0.014715719,0.004716981,0
23,2010,0.084913342,0.04199729,0.02006689,0.009433962,0
24,2010,0.085960219,0.049932262,0.026086957,0.014150943,0.00462963
25,2010,0.082703269,0.05806077,0.03277592,0.021226415,0.00462963
26,2010,0.076654647,0.068705245,0.041471572,0.028301887,0.009259259
27,2010,0.064673723,0.076640217,0.048160535,0.037735849,0.013888889
28,2010,0.05257648,0.08167215,0.05819398,0.047169811,0.027777778
29,2010,0.039897639,0.080898007,0.063545151,0.049528302,0.032407407
30,2010,0.032453181,0.07741436,0.07090301,0.058962264,0.041666667
31,2010,0.027451437,0.073156571,0.074247492,0.068396226,0.050925926
32,2010,0.021635454,0.064640991,0.076923077,0.073113208,0.064814815
33,2010,0.017098988,0.055351268,0.077591973,0.075471698,0.069444444
34,2010,0.013376759,0.045674473,0.072909699,0.075471698,0.078703704
35,2010,0.010934047,0.037545965,0.067558528,0.077830189,0.087962963
36,2010,0.009072932,0.029804529,0.060869565,0.077830189,0.087962963
37,2010,0.006746539,0.021095413,0.050167224,0.068396226,0.083333333
38,2010,0.005350704,0.015676408,0.041471572,0.058962264,0.078703704
39,2010,0.003838548,0.010644475,0.030769231,0.051886792,0.069444444
40,2010,0.002907991,0.007160828,0.022073579,0.037735849,0.060185185
41,2010,0.002093754,0.004838398,0.014046823,0.025943396,0.050925926
42,2010,0.001395836,0.002709503,0.009364548,0.016509434,0.037037037
43,2010,0.000930557,0.001354751,0.005351171,0.011792453,0.023148148
44,2010,0.000581598,0.000774144,0.002675585,0.004716981,0.013888889
45,2010,0.000232639,0.000387072,0.001337793,0.002358491,0.00462963
46,2010,0.00011632,0.000193536,0.000668896,0,0.00462963
47,2010,0.00011632,0,0,0,0
48,2010,0,0,0,0,0
49,2010,0,0,0,0,0
50,2010,0,0,0,0,0
51,2010,0,0,0,0,0
52,2010,0,0,0,0,0
53,2010,0,0,0,0,0
54,2010,0,0,0,0,0
55+,2010,0,0,0,0,0
