Age,b1,b2,b3,b4,b5p
12,0,0,0,0,0
13,0,0,0,0,0
14,0.000346741,0,0,0,0
15,0.002542765,0,0,0,0
16,0.008899676,0.000246792,0,0,0
17,0.022538141,0.000987167,0,0,0
18,0.045191863,0.004195459,0,0,0
19,0.072122053,0.009624877,0.001331558,0,0
20,0.092695331,0.019002962,0.003994674,0,0
21,0.100439205,0.029615005,0.010652463,0,0
22,0.098705502,0.040227048,0.018641811,0.006329114,0
23,0.095584836,0.051826259,0.027962716,0.012658228,0
24,0.085413777,0.061451135,0.03861518,0.018987342,0
25,0.073393435,0.069595262,0.045272969,0.03164557,0
26,0.061257513,0.076505429,0.053262317,0.044303797,0.017857143
27,0.049237171,0.082181639,0.062583222,0.050632911,0.017857143
28,0.039528433,0.083168806,0.07057257,0.063291139,0.035714286
29,0.031322238,0.077245805,0.07057257,0.069620253,0.053571429
30,0.025889968,0.073050346,0.07723036,0.075949367,0.053571429
31,0.020804438,0.066633761,0.078561917,0.075949367,0.071428571
32,0.016643551,0.057008885,0.074567244,0.082278481,0.071428571
33,0.013176144,0.049358342,0.074567244,0.082278481,0.089285714
34,0.010517799,0.040227048,0.065246338,0.075949367,0.089285714
35,0.008784096,0.031589339,0.058588549,0.063291139,0.089285714
36,0.007050393,0.024925962,0.046604527,0.063291139,0.089285714
37,0.00531669,0.017769003,0.037283622,0.050632911,0.089285714
38,0.004160888,0.011846002,0.029294274,0.044303797,0.071428571
39,0.003236246,0.00863771,0.021304927,0.03164557,0.053571429
40,0.002196024,0.005676209,0.014647137,0.025316456,0.035714286
41,0.001386963,0.003455084,0.007989348,0.012658228,0.035714286
42,0.000809061,0.001974334,0.005326232,0.012658228,0.017857143
43,0.000462321,0.001233959,0.002663116,0.006329114,0.017857143
44,0.00023116,0.000493583,0.001331558,0,0
45,0.00011558,0.000246792,0.001331558,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55+,0,0,0,0,0
