Age,b1,b2,b3,b4,b5p
12,0,0,0,0,0
13,0.00011632,0,0,0,0
14,0.000465279,0,0,0,0
15,0.002675352,0,0,0,0
16,0.008840293,0.000387072,0,0,0
17,0.021751774,0.001935359,0,0,0
18,0.03943236,0.005031933,0.000668896,0,0
19,0.056996627,0.010450939,0.002006689,0,0
20,0.067930673,0.017224695,0.004682274,0,0
21,0.076305688,0.025159667,0.008695652,0.002358491,0
22,0.081772711,0.033481711,0.014715719,0.004716981,0
23,0.084913342,0.04199729,0.02006689,0.009433962,0
24,0.085960219,0.049932262,0.026086957,0.014150943,0.00462963
25,0.082703269,0.05806077,0.03277592,0.021226415,0.00462963
26,0.076654647,0.068705245,0.041471572,0.028301887,0.009259259
27,0.064673723,0.076640217,0.048160535,0.037735849,0.013888889
28,0.05257648,0.08167215,0.05819398,0.047169811,0.027777778
29,0.039897639,0.080898007,0.063545151,0.049528302,0.032407407
30,0.032453181,0.07741436,0.07090301,0.058962264,0.041666667
31,0.027451437,0.073156571,0.074247492,0.068396226,0.050925926
32,0.021635454,0.064640991,0.076923077,0.073113208,0.064814815
33,0.017098988,0.055351268,0.077591973,0.075471698,0.069444444
34,0.013376759,0.045674473,0.072909699,0.075471698,0.078703704
35,0.010934047,0.037545965,0.067558528,0.077830189,0.087962963
36,0.009072932,0.029804529,0.060869565,0.077830189,0.087962963
37,0.006746539,0.021095413,0.050167224,0.068396226,0.083333333
38,0.005350704,0.015676408,0.041471572,0.058962264,0.078703704
39,0.003838548,0.010644475,0.030769231,0.051886792,0.069444444
40,0.002907991,0.007160828,0.022073579,0.037735849,0.060185185
41,0.002093754,0.004838398,0.014046823,0.025943396,0.050925926
42,0.001395836,0.002709503,0.009364548,0.016509434,0.037037037
43,0.000930557,0.001354751,0.005351171,0.011792453,0.023148148
44,0.000581598,0.000774144,0.002675585,0.004716981,0.013888889
45,0.000232639,0.000387072,0.001337793,0.002358491,0.00462963
46,0.00011632,0.000193536,0.000668896,0,0.00462963
47,0.00011632,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55+,0,0,0,0,0
